KU    , Dato  , Tid     , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Ugekode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Bem‘rkninger
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000004, 990104, 11:37:39,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2953,3200, 78.0,2967,3246,100.8,2503,2684,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042125, 990104, 11:39:01,3071,3301, 80.9,3172,3342,103.6,2824,2756,4951,3922,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,1398,1398,03.4,*****,  90  ,     EBU, Produktion.
000004, 990104, 15:34:38,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2953,3201, 77.6,2943,3262,100.3,2503,2685,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042106, 990104, 15:35:27,3071,3306, 80.1,3162,3356,102.7,2732,2785,4807,4000,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Reparation.
000004, 990106, 11:54:38,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2957,3200, 77.6,2964,3271,101.0,2496,2683,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
551168, 990106, 11:55:38,3070,3299, 80.8,3147,3355,104.0,2636,2858,4818,4062,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Reparation.
000004, 990108, 12:39:59,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2957,3202, 77.4,2968,3283,102.0,2500,2682,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042125, 990108, 12:41:16,3092,3278, 81.2,3207,3338,104.9,2807,2780,4921,3961,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, produktion/efter varme 1.
000004, 990108, 13:14:03,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2956,3200, 77.9,2975,3281,101.4,2500,2686,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
