
                                PM5664


                                         PCB               SCM 

     U1     POWER SUPPLY            4008 117 0461     4008 109 7111
     U1.1   ILLUM PANNEL            4008 117 0484     4008 109 7133
     U1a    CRT BOARD               4008 117 0497     4008 108 7157
     U2     CRT CONTROL             4008 117 0462     4008 109 7112
     U3     DEFLECTION BOARD        4008 117 0474     4008 109 7113
     U4     SIGNAL PROCESSOR        4008 117 0463     4008 109 7081
     U4.1   STANDARD                4008 117 0475     4008 109 7116
     U5     POTMETER BOARD          4008 117 0464     4008 109 7083
     U6     KEYBOARD                4008 117 0465     4008 109 7084
     U7     CONTROL BOARD           4008 117 0466     4008 109 7082
     U7.1   DAC OFFSET AMP.         4008 117 0508     4008 109 7291
     U8     GBR MONITOR OUT         4008 117 0467     4008 109 7114
      
