KU    , Date  , Time    , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Weekcode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Comments
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
900000, 010517, 13:35:22,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,1282,   0, -0.0,3114,3388,107.1,4001136,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
040233, 010517, 13:36:58,   0,43278, 8.71550652933447102E+0037,3139,3359,115.5,  -9,-79966,  15, 7.27785839682318726E+0041,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  *****,  90,   SMPTE, 
900000, 010523, 17:45:20,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3148,3422,122.9,   0,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
900000, 010523, 17:46:29,  17,   1,  0.0,3148,3421,122.9,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, 
900000, 010523, 17:48:01,  17,   1,  0.0,3147,3419,122.7,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, gunners test
900000, 010530, 13:15:18,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3145,3428,122.6,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
539005, 010530, 13:17:26,   0,   0,  0.0,3138,3420,122.1,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  14094,  90,   SMPTE, JK cal. 30.05.01, 12:14
900000, 010530, 16:18:39,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3148,3422,121.9,   0,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
539005, 010530, 16:19:37,   0,   0,  0.0,3140,3421,121.7,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  *****,  90,   SMPTE, 
900000, 010718, 19:46:15,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,-1006396736151040000,   0, -0.0,3126,3290, 80.6,880442157847790613000000000000000000,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
900000, 010718, 19:47:13,156515857142565157000000000000000000, 4.15383749210180099E+0038,-15528717458851151300000000000000.0,3126,3290, 80.6, 1.31593571582861414E+0042,   0, 4.43943027437020272E+0040,   0,    ,    ,     ,    ,    ,     ,    ,    ,332,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, test18072001
900000, 010718, 19:59:50,156515857142565157000000000000000000, 4.15383749210180099E+0038,-15528717458851151300000000000000.0,3127,3291, 80.6, 1.31593571582861414E+0042,   0, 4.43943027437020272E+0040,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, test 2 18072001
900000, 010719,  0:50:56,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3132,3293, 79.4,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041266, 010719,  0:56:30,   0,   0,  0.0,3121,3289, 81.3,  68,   0,-2630274,19012,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  01234,  90,   SMPTE, Bob testing
900000, 010719, 18:50:14,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3129,3290, 80.2,   0,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
900000, 010719, 18:50:48,383036346154248118000000000,-3.06194515245797908E+0036,-10378890095712705200000000000000.0,3130,3290, 80.2,   0,   0, 1.09175738624984594E+0042,  -0,    ,    ,     ,    ,    ,     ,    ,    ,332,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, 
