 0,            (INGENTING)
 1  2         A
 3  4         B
 5  6         C
 7  8         D
 9  10        E
 11  12       F
 13  14       G
 15  16       H
 17           I
 18  19       J
 20  21       K
 22  23       L
 24  25  26   M
 27  28       N
 29  30       O
 31  32       P
 33  34       Q
 35  36       R
 37  38       S
 39  40       T
 41  42       U
 43  44       V
 45  46  47   W
 48  49       X
 50  51       Y
 52  53       Z
 54  55  56   í
 57  58       ù
 59  60       è
 61  62       é
 63  64       ô
 65  66       &
 67  68       SS
 69  70       0
 71  72       1
 73  74       2
 75  76       3
 77  78       4
 79  80       5
 81  82       6
 83  84       7
 85  86       8
 87  88       9
 89  90       :
 91           .
 92           '
 93           !
 94            
 95  96       -
 97  98       _
 99  100      +
 101  102     a
 103  104     x
 105  106     h
 107  108     o
