Release 6.3.03i - Par G.38
Copyright (c) 1995-2004 Xilinx, Inc.  All rights reserved.

Fri Jul 15 15:49:35 2005


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       tri_level_channel_clock_flip_map.ncd
OUTPUT FILE:      tri_level_channel_clock_flip_pad.csv
PART TYPE:        xc3s200
SPEED GRADE:      -5
PACKAGE:          pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,GND,,,,,,,,,,
P2,,IOB,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,
P3,,IOB,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,
P4,spl_div_o<7>,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,
P5,spl_div_o<6>,IOB,IO_L16N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,
P6,,,VCCO_7,,,7,,,,,2.50,,
P7,spl_div_o<3>,IOB,IO_L19P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,
P8,,,GND,,,,,,,,,,
P9,sync_mode_o<1>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,
P10,spl_div_o<4>,IOB,IO_L20P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,
P11,,IOB,IO_L20N_7,UNUSED,,7,,,,,,,
P12,,IOB,IO_L21P_7,UNUSED,,7,,,,,,,
P13,,IOB,IO_L21N_7,UNUSED,,7,,,,,,,
P14,,,GND,,,,,,,,,,
P15,,IOB,IO_L22P_7,UNUSED,,7,,,,,,,
P16,,IOB,IO_L22N_7,UNUSED,,7,,,,,,,
P17,,,VCCAUX,,,,,,,,2.5,,
P18,,IOB,IO_L23P_7,UNUSED,,7,,,,,,,
P19,,IOB,IO_L23N_7,UNUSED,,7,,,,,,,
P20,,IOB,IO_L24P_7,UNUSED,,7,,,,,,,
P21,,IOB,IO_L24N_7,UNUSED,,7,,,,,,,
P22,,IOB,IO_L39P_7,UNUSED,,7,,,,,,,
P23,,,VCCO_7,,,7,,,,,2.50,,
P24,,IOB,IO_L39N_7,UNUSED,,7,,,,,,,
P25,,,GND,,,,,,,,,,
P26,,IOB,IO_L40P_7,UNUSED,,7,,,,,,,
P27,,IOB,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,
P28,,IOB,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,
P29,,IOB,IO_L40N_6,UNUSED,,6,,,,,,,
P30,,,GND,,,,,,,,,,
P31,,IOB,IO_L39P_6,UNUSED,,6,,,,,,,
P32,,,VCCO_6,,,6,,,,,2.50,,
P33,,IOB,IO_L39N_6,UNUSED,,6,,,,,,,
P34,f30_i,IOB,IO_L24P_6,INPUT,LVCMOS25,6,,,,NONE,,,
P35,f24_i,IOB,IO_L24N_6/VREF_6,INPUT,LVCMOS25,6,,,,NONE,,,
P36,f2398_i,IOB,IO_L23P_6,INPUT,LVCMOS25,6,,,,NONE,,,
P37,genlock_sync_o,IOB,IO_L23N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,
P38,,,VCCAUX,,,,,,,,2.5,,
P39,,IOB,IO_L22P_6,UNUSED,,6,,,,,,,
P40,,IOB,IO_L22N_6,UNUSED,,6,,,,,,,
P41,,,GND,,,,,,,,,,
P42,,IOB,IO_L21P_6,UNUSED,,6,,,,,,,
P43,,IOB,IO_L21N_6,UNUSED,,6,,,,,,,
P44,,IOB,IO_L20P_6,UNUSED,,6,,,,,,,
P45,,IOB,IO_L20N_6,UNUSED,,6,,,,,,,
P46,,IOB,IO_L19P_6,UNUSED,,6,,,,,,,
P47,,,GND,,,,,,,,,,
P48,,IOB,IO_L19N_6,UNUSED,,6,,,,,,,
P49,,,VCCO_6,,,6,,,,,2.50,,
P50,,IOB,IO/VREF_6,UNUSED,,6,,,,,,,
P51,mreset_i,IOB,IO_L01P_6/VRN_6,INPUT,LVCMOS25,6,,,,NONE,,,
P52,,IOB,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,
P53,,,GND,,,,,,,,,,
P54,,,M1,,,,,,,,,,
P55,,,M0,,,,,,,,,,
P56,,,M2,,,,,,,,,,
P57,,IOB,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,
P58,,IOB,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,
P59,,,GND,,,,,,,,,,
P60,,,VCCO_5,,,5,,,,,2.50,,
P61,,IOB,IO_L10P_5/VRN_5,UNUSED,,5,,,,,,,
P62,,IOB,IO_L10N_5/VRP_5,UNUSED,,5,,,,,,,
P63,,IOB,IO,UNUSED,,5,,,,,,,
