Release 6.3.03i - Par G.38
Copyright (c) 1995-2004 Xilinx, Inc.  All rights reserved.

Thu Jul 14 12:12:01 2005


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       tri_level_module_map.ncd
OUTPUT FILE:      tri_level_module_pad.csv
PART TYPE:        xc3s200
SPEED GRADE:      -5
PACKAGE:          pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,GND,,,,,,,,,,
P2,,IOB,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,
P3,,IOB,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,
P4,,IOB,IO_L16P_7/VREF_7,UNUSED,,7,,,,,,,
P5,,IOB,IO_L16N_7,UNUSED,,7,,,,,,,
P6,,,VCCO_7,,,7,,,,,2.50,,
P7,,IOB,IO_L19P_7,UNUSED,,7,,,,,,,
P8,,,GND,,,,,,,,,,
P9,,IOB,IO_L19N_7/VREF_7,UNUSED,,7,,,,,,,
P10,,IOB,IO_L20P_7,UNUSED,,7,,,,,,,
P11,,IOB,IO_L20N_7,UNUSED,,7,,,,,,,
P12,ext0_o<3>,IOB,IO_L21P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P13,ext0_o<2>,IOB,IO_L21N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P14,,,GND,,,,,,,,,,
P15,ext0_o<1>,IOB,IO_L22P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P16,ext0_o<0>,IOB,IO_L22N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P17,,,VCCAUX,,,,,,,,2.5,,
P18,ext1_o<3>,IOB,IO_L23P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P19,ext1_o<2>,IOB,IO_L23N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P20,ext1_o<1>,IOB,IO_L24P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P21,ext1_o<0>,IOB,IO_L24N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P22,,IOB,IO_L39P_7,UNUSED,,7,,,,,,,
P23,,,VCCO_7,,,7,,,,,2.50,,
P24,,IOB,IO_L39N_7,UNUSED,,7,,,,,,,
P25,,,GND,,,,,,,,,,
P26,ext2_o<3>,IOB,IO_L40P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P27,ext2_o<2>,IOB,IO_L40N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,
P28,ext2_o<1>,IOB,IO_L40P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P29,ext2_o<0>,IOB,IO_L40N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P30,,,GND,,,,,,,,,,
P31,,IOB,IO_L39P_6,UNUSED,,6,,,,,,,
P32,,,VCCO_6,,,6,,,,,2.50,,
P33,,IOB,IO_L39N_6,UNUSED,,6,,,,,,,
P34,ext3_o<3>,IOB,IO_L24P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P35,ext3_o<2>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P36,ext3_o<1>,IOB,IO_L23P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P37,ext3_o<0>,IOB,IO_L23N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,
P38,,,VCCAUX,,,,,,,,2.5,,
P39,,IOB,IO_L22P_6,UNUSED,,6,,,,,,,
P40,,IOB,IO_L22N_6,UNUSED,,6,,,,,,,
P41,,,GND,,,,,,,,,,
P42,,IOB,IO_L21P_6,UNUSED,,6,,,,,,,
P43,,IOB,IO_L21N_6,UNUSED,,6,,,,,,,
P44,,IOB,IO_L20P_6,UNUSED,,6,,,,,,,
P45,,IOB,IO_L20N_6,UNUSED,,6,,,,,,,
P46,,IOB,IO_L19P_6,UNUSED,,6,,,,,,,
P47,,,GND,,,,,,,,,,
P48,,IOB,IO_L19N_6,UNUSED,,6,,,,,,,
P49,,,VCCO_6,,,6,,,,,2.50,,
P50,,IOB,IO/VREF_6,UNUSED,,6,,,,,,,
P51,,IOB,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,
P52,,IOB,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,
P53,,,GND,,,,,,,,,,
P54,,,M1,,,,,,,,,,
