#Release 12.4 - par M.81d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Tue May 31 13:04:41 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       digital_PLL_map.ncd
#OUTPUT FILE:      digital_PLL_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,any******,,,,
P9,,DIFFM,IO_L03P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P10,,DIFFS,IO_L03N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P11,,DIFFM,IO_L04P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P12,,DIFFS,IO_L04N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,,DIFFM,IO_L05P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
P16,,DIFFS,IO_L05N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P17,,DIFFM,IO_L06P_3/LHCLK6,UNUSED,,3,,,,,,,,,
P18,,DIFFS,IO_L06N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,any******,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,,DIFFM,IO_L07P_3,UNUSED,,3,,,,,,,,,
P23,,DIFFS,IO_L07N_3,UNUSED,,3,,,,,,,,,
P24,cv_word_o<0>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P25,cv_word_o<1>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
