PTV 12nc nr     GIT vare nr
0322 042 00019	371-PTV00019
0322 042 00022	372-043
0722 004 00049	371-PTV00049
0813 011 18003	369-132040
0822 026 06002	367-ML10
0822 026 22152	369-PVCB60BK
0831 026 06039	369-232268
1222 100 98054	105-2551
1222 100 98209	105-4016
1308 100 00023	105-238
2008 551 00021	251-1278
2008 551 00022	251-1224
2008 551 00023	251-1277
2008 551 00024	251-1393
2008 551 00025	251-1475
2008 551 00026	251-1563
2008 551 00027	251-1684
2008 551 00028	251-2107
2008 551 00032	251-2226
2008 551 00036	251-2334
2008 551 00037	251-2333
2008 551 00041	251-1105
2008 555 00001	252-120
2012 007 02019	263-3220164
2012 007 02038	263-3100403
2012 551 01057	252-310
2012 572 10014	251-4223
2012 572 10019	251-447
2012 572 10024	251-5109
2122 118 01039	217-2101
2122 118 01046	217-2332
2122 118 01053	217-31011
2122 118 01058	217-327
2122 118 01066	217-4107
2122 118 01081	217-410
2122 118 01084	217-41010
2122 118 01162	217-5104
2122 118 01325	217-2222
2122 118 01348	217-4331
2122 118 01544	217-122
2122 118 01615	217-31012
2122 350 00354	225-3103
2122 350 00357	225-2503
2122 350 00359	225-2101
2122 350 00361	225-4108
2122 350 00362	225-5107
2122 350 00363	225-3502
2122 350 00364	225-4504
2122 350 00371	227-2102
2122 350 00372	227-3504
2122 350 00414	227-2505
2122 350 00459	227-4105
2122 350 00468	225-2202
2122 350 00472	225-3201
2122 350 00473	227-4206
2122 350 00504	227-3201
2122 350 00515	227-3103
2122 350 00518	227-5105
2122 350 00558	225-4202
2122 350 00645	227-2203
2122 358 00071	227-4103
2122 358 00101	227-2103
2122 358 00105	225-3501
2122 358 00116	227-4207
2122 358 00137	227-5106
2122 358 00144	227-3105
2122 358 00153	225-4503
2122 362 00059	227-3104
2122 362 00062	227-2201
2122 362 00679	235-220
2122 362 00682	233-220
2122 362 00683	227-4501
2122 362 00686	227-3102
2122 362 00719	227-210
2122 362 00722	227-2504
2122 362 00725	227-3501
2122 362 00727	227-4205
2122 362 00729	227-5101
2222 030 37339	267-133040
2222 030 38229	267-122063
2222 031 28229	267-1220631
2222 031 36221	267-2220251
2222 031 38689	267-168063
2222 031 39229	267-1221001
2222 031 39339	267-133100
2222 032 16152	267-315025
2222 032 46152	267-3150101
2222 051 57332	263-333040
2222 053 58689	263-168385
2222 058 56472	265-347025
2222 058 57332	265-330040
2222 058 58102	265-310063
2222 116 21339	265-133050
2222 116 50101	265-2120351
2222 116 55221	263-222016
2222 118 28689	267-1680631
2222 118 90508	267-2470631
2222 119 37479	267-1470402
2222 119 38479	267-1470403
2222 119 90504	267-2220252
2222 119 90519	267-1470404
2222 122 53159	263-115006
2222 122 53689	265-268006
2222 122 54339	263-1330101
2222 122 54688	263-068010
2222 122 55159	261-715
2222 122 55338	261-0330161
2222 122 56158	263-015025
2222 122 56688	263-068025
2222 122 57158	263-015040
2222 128 54339	263-133010
2222 128 55159	263-1150161
2222 344 15155	257-6151
2222 370 11104	257-51013
2222 370 11154	257-5155
2222 370 11224	257-52212
2222 370 11334	257-53321
2222 370 11474	257-5472T
2222 370 11683	257-4682
2222 370 11684	257-568
2222 370 12105	257-61021
2222 370 21153	255-415
2222 370 21223	257-4222
2222 370 21333	257-4332
2222 370 21473	257-4472T
2222 370 41103	257-410
2222 371 12105	257-6105
2222 371 41333	257-4334
2222 371 51103	257-4109
2222 460 81003	258-4106
2222 460 86802	258-368
2222 461 83902	258-339
2222 461 84702	258-347
2222 461 85602	258-3561
2222 462 81202	258-3120
2222 462 81502	257-3155
2222 462 81802	257-318
2222 462 82202	257-3226
2222 462 82702	258-3270
2222 462 83302	258-3330
2222 463 11002	257-3105
2222 463 81002	257-310
2222 463 86801	257-268
2222 463 88201	258-2820
2222 464 81001	258-2101
2222 464 81201	258-2120
2222 464 81501	258-2151
2222 464 81801	258-2180
2222 464 82201	258-2220
2222 464 82701	258-227
2222 464 83301	258-2330
2222 464 83901	258-2390
2222 464 84701	258-2471
2222 464 85601	258-2561
2222 580 16618	552-322
2222 580 16623	552-347
2222 580 16627	552-410
2222 580 16631	552-418
2222 580 16632	552-4221
2222 580 16634	552-433
2222 581 16636	551-447
2222 581 16641	551-5105
2222 595 16649	554-5475
2222 630 09472	251-34711
2222 630 18472	251-3471
2222 630 19102	251-3103
2222 630 19222	251-32211
2222 630 19472	251-3473
2222 653 57188	251-018
2222 683 03108	251-010
2222 683 03158	251-015
2222 683 03568	251-0562
2222 683 03687	251-0068
2222 683 09228	251-022
2222 683 09338	251-033
2222 683 09398	251-0394
2222 683 09478	251-0472
2222 683 09568	251-056
2222 683 09688	251-068
2222 683 09828	251-082
2222 683 10101	251-210
2222 683 10109	251-1102
2222 683 10121	251-212
2222 683 10129	251-112
2222 683 10151	251-2154
2222 683 10159	251-1152
2222 683 10189	251-1181
2222 683 10229	251-1221
2222 683 10279	251-1271
2222 683 10339	251-1331
2222 683 10399	251-139
2222 683 10479	251-1471
2222 683 10569	251-1561
2222 683 10689	251-1682
